"","gene_ID","X88F","X88M","X88supM","X89F","X89M","X89supM","X103F","X103M","X103supM","X9F","X9M"
"30414","comp21897_c0",5,10,58,4,14,61,6,117,0,15,81
"30877","comp22076_c0",0,0,0,0,0,1,0,0,2,32,55
"31925","comp22477_c0",1,10,4,9,5,59.02,0,22,2,5,58
"32164","comp22579_c0",16,143,386,137.99,9,634,140.04,431,10,154,223
"32190","comp22591_c0",8,32,70,17,3,29,47,523,28,15,117
"32230","comp22611_c0",1,7.99,140.91,2,0,758.82,2,244.18,0,5,261.43
"32317","comp22645_c0",0,0,0,3,411,471,0,1209,3,0,94
"32400","comp22680_c0",0,1,0,4,122,211,2,1122.99,0,0,7
"32507","comp22726_c0",1,0,0,3,57,669.79,0,3653.93,0,0,4
"32653","comp22793_c0",34,48,658,193,22,220,117,433,18,155,278
"32709","comp22821_c0",179,183,2299,183,93,1164,201,4580.79,32,233,4674.11
"33019","comp22961_c0",10,111,226,177,127.01,343,65,745,8,180,206
"33176","comp23035_c0",4,6,27,3,1,69,2,222,1,3,26
"33256","comp23078_c0",0,0,14,44,10,83,0,58,1,6,292
"33273","comp23084_c0",2,4,42,4,0,33,0,27,0,0,115
"33578","comp23236_c0",1,8,41.43,12,3,18,21,96,2,12,24
"33896","comp23405_c0",0,0,0,1,19,49,0,239,0,0,0
"34014","comp23464_c0",0,3,35,30,2,467,2,71,0,0,121
"34046","comp23482_c0",2,4,17,4,7,40,0,45,0,1,95
"34050","comp23485_c0",1,7,7,13,22,75,4,196,0,4,10
"34134","comp23531_c0",6,9,56,20,2,236,15,266.08,2,7,175.06
"34228","comp23580_c0",7,30,86,9,3,22,11,43,1,5,52
"44288","comp27987_c0",0,0,28,7,4,28,26,18,3,2,25
"45115","comp28394_c0",4,24,106,6,2,53,5,82,0,7,38
"48914","comp31029_c0",4,14,97,21,2,84,13,207,4,11,61
"49466","comp31245_c0",184,238,788,181.42,122,1024,178,892,19,383.12,659
"50438","comp31577_c0",0,1,7,0,810,1270,0,6001.15,2,0,143
"51376","comp31906_c0",62,156,475,144,18,707,110,1902.94,22,69,760
"52102","comp32179_c0",651,916.78,542.08,2210.01,203.38,481.07,2575,3352,30.01,965.62,1042.85
"52486","comp32326_c0",2,4,4,11,52,135,4,405,0,3,25
"52488","comp32327_c0",1,2,3,6,8,22,0,418,4,1,9
"52879","comp32480_c0",0,0,0,0,19,32,0,86,0,0,0
"53794","comp32833_c0",0,0,2,0,0,53,0,87,0,1,53
"53956","comp32893_c0",400,1407,6979.02,2941,687,7662.2,1158,16546.97,165,1893.4,9264.05
"54114","comp32958_c0",0,0,66,0,996,1402.58,0,4662.74,0,0,229
"54115","comp32958_c1",0,3,36,0,617.05,963,1,3303.38,2,2,174
"54202","comp32994_c0",1,4,16,4,0,24,15,278,1,1,86
"54342","comp33043_c0",1,11,74,7,3,7,9,166.9,3,7,50
"54535","comp33119_c0",1,2,19,11,17,57.02,0,126,0,7,43
"54567","comp33130_c0",0,0,0,1,287,416,4,591,0,0,73
"55072","comp33331_c0",0,0,0,0,6,27,0,229.39,0,0,0
"55251","comp33412_c0",0,7,44,7,4,106,10,162,2,4,621
"55310","comp33441_c0",3,15,49,9,2,179,2,120,0,5,85
"55430","comp33486_c0",0,0,0,80.31,18,375.42,114,629.95,7,119,680.6
"55479","comp33505_c0",0,0,0,0,1,371.32,0,109,0,0,421
"55480","comp33505_c1",0,1,1,0,0,479.99,0,151,2,0,553.98
"55503","comp33517_c0",7,12,87,5,2,147,32,335,1,39,428
"55573","comp33544_c0",0,0,0,0,0,0,0,0,2,70,59
"55581","comp33546_c0",0,0,1,0,6,55,2,23,1,23,922
"55665","comp33581_c0",0,0,0,71,19,1,115,322,1,0,0
"56096","comp33783_c0",0,3,1,2,657.93,2136.31,0,7613.7,0,0,2
"56317","comp33879_c0",6,21,83,20,4,66,26,94,0,21,48
"56429","comp33928_c0",29,46,173,36,19,512,36,1154,8,36,703.98
"56516","comp33968_c0",3,5,21,8,2,127,1,165,0,6,148
"56747","comp34081_c0",5,7,87,5,15,61,13,367,0,16,74
"57224","comp34287_c1",0,72,103,0,0,0,0,0,4,161,69
"57515","comp34429_c0",0,0,0,0,0,41,0,0,7,145,100.97
"57525","comp34435_c0",7,56,34,40,169,1640,60,3397,1,72,168
"57732","comp34538_c0",10,29,95,25,8,150,15,355,9,38,748
"57754","comp34550_c0",12,0,180,87,691,957,2,2804,11,21,416.87
"57783","comp34562_c0",6,9,89,6,4,280,1,124,0,12,88
"60278","comp35771_c0",0,0,0,3,10,27,0,90,0,1,3
"68066","comp40935_c0",1,30,100,24,9,56,78,369,9,26,44
"68442","comp41207_c0",0,5,5,0,0,36.14,3,77.98,0,19,173
"68478","comp41235_c0",0,7,59,2,2,66,4,82,3,3,16
"68574","comp41311_c0",13,14,150,13,5,34,15,117,3,6,37
"68575","comp41311_c1",11,13,115,8,0,36,21,88,4,8,28
"68757","comp41452_c0",4,1,55,7,1,36,0,4,0,26,70
"68773","comp41467_c1",2,2,28.98,4,1,52,8,130.68,0,3,28
"69207","comp41709_c0",3,1,96,6,103,109,1,328,1,1,72
"69217","comp41716_c0",2,2,12,2,86,287,0,1037,0,3,93
"69372","comp41790_c0",278.69,1211.98,2101.26,437.77,511.01,916.76,620.61,3962.83,49.15,671.41,507.9
"69378","comp41792_c1",0,0,2,11,2,57.03,4,47.03,2,19,42
"69519","comp41856_c0",0,3,2,5,547,1471,3,7208,1,7,44
"69535","comp41863_c0",2,11,31,4,1,48,3,57,2,5,121
"69880","comp42021_c0",0,2,2,0,1,38,0,305,0,2,32
"70007","comp42081_c0",5,20,105,8,5,189,34,320,1,12,112
"70153","comp42151_c0",8,47,72.14,4,3,137,11,30,0,24,35
"70340","comp42238_c0",3,5,19,9,15,21,13,137,0,10,54
"70475","comp42305_c0",2,8,21,6,3,208.02,5,236.64,1,3,209
"70595","comp42359_c0",29,128,279.99,234,24,366,58.01,240,9,85,90
"70617","comp42371_c0",1,3,25,11,2,240.18,9,215.77,3,8,46.71
"70648","comp42385_c0",9,34,54,10,5,44,22,76,2,19,76.59
"70719","comp42417_c0",37,140,317,194,26,253,83.97,408.02,17,220.01,237
"70834","comp42477_c0",1,14,97,47,29,34,30,657,1,14,111
"70835","comp42477_c1",0,8,36,9,10,6,8,208,0,6,33
"70850","comp42484_c0",0,0,0,0,0,0,0,0,6,105,146
"71161","comp42628_c0",14,34,251,48,3,128,17,592,16,12,61
"71298","comp42693_c0",243,511,290,560,53,103,1025,294,9,521.99,360
"71372","comp42725_c1",0,0,0,0,0,1,1,1,2,34,42
"71458","comp42767_c0",0,0,4,5,8,27,0,69,0,1,2
"71486","comp42782_c0",3,2,2,5,22,41.15,2,201,1,1,37
"71627","comp42849_c0",10,21,172.12,34,9,308.11,16,254,1,21,108
"73136","comp43573_c1",122,431,179.02,346,36,107,795.07,343,3,269,125
"73342","comp43675_c0",2,20,57,11,126,186,13,365.94,2,0,49.79
"73382","comp43696_c0",0,0,0,6,12,31,0,118,0,0,15
"73630","comp43822_c0",10,25,1626,21,23,58,31,77,23,77,11
"73861","comp43959_c0",0,0,5,0,52,144,0,610,0,0,8
"73862","comp43959_c1",0,0,4,0,39,92,0,464,0,0,8
"74352","comp44219_c0",0,0,1,0,24,41.31,0,199,1,4,4
"74632","comp44359_c0",0,0,0,0,22,43,0,127,0,1,7
"74687","comp44388_c0",50,131,187,310.95,211,965,129,1883,16,231,511
"75082","comp44590_c0",0,1,2,0,32,77,0,202.02,0,4,4
"75235","comp44667_c0",6,9,25,15,4,49,7,51,3,10,42
"75450","comp44772_c0",0,0,0,1,13,32.27,0,67,0,0,4
"76164","comp45157_c1",9,26.05,50.79,24,4,118,15.55,182.66,3,9,87
"76404","comp45287_c0",2,7,13,3,4,39,9,79,0,7,38
"76579","comp45381_c0",3,4,167,3,0,192,3,126,1,10,108
"76773","comp45483_c0",0,11,7,1,2,31,9,21,2,7,26
"76841","comp45524_c0",0,2,2,5,47,105,3,224,1,2,5
"77061","comp45655_c0",0,0,0,5,16,34,0,83,0,1,20
"77125","comp45685_c0",10,17,108.92,3,3,58.99,28,181.9,3,12,125.99
"77178","comp45711_c1",2,3,12,3,3,53,7,90,0,9,38
"77188","comp45717_c0",12,17,3,29,2,6,113,88,3,73,33
"77213","comp45728_c0",1,1,15,0,5,22,4,124,2,2,10
"77229","comp45737_c0",0,1,13,0,39.32,29,0,384.56,2,0,91.94
"77232","comp45739_c0",0,4,38,1,0,30,1,198,0,5,235
"77639","comp45953_c0",8,5,48,19,73,209,9,776,4,1,401
"77643","comp45956_c0",2,6,12,13,7,48,8,29,1,16,33.01
"77727","comp45997_c0",0,44.06,104,0,2,45,0,88,6,1,1217
"77756","comp46013_c0",9,13,80.02,17,4,348,13,186,2,2,36
"77757","comp46013_c1",36,48,305,53,10,1096.99,46,764,9,11,99
"77765","comp46019_c0",0,25,74,0,0,56,0,19,0,1,289
"77902","comp46098_c0",0,0,1,0,0,170,117,211,6,277.09,186.42
"77937","comp46120_c0",1,9,40,14,0,117,3,77,1,10,67
"77990","comp46145_c0",0,5,20,2,1,58,1,188,1,7,80
"78052","comp46178_c0",179,936,553,302,29,44,1011,357,4,243,107.95
"78746","comp46585_c1",171,299,1219.08,458,168,2072.45,359,2292.08,45,415,1538
"78869","comp46655_c0",1,2,4,11,6,17,3,64.15,1,12,60
"79153","comp46816_c0",1,0,21,1,4,27,7,35,2,2,25
"79401","comp46978_c0",21,86,136.31,73,15,385.16,86,440,4,102,364
"79660","comp47133_c0",2,60,447,111,53,426.07,22,1913.09,12,76,1544.4
"80090","comp47383_c0",0,2,22,15,9,30,1,72,1,10,46
"80260","comp47485_c0",0,0,0,0,0,4,0,8,4,51,39
"80456","comp47606_c1",3,8,83,1,0,57,0,80,0,0,6
"80462","comp47610_c0",1,0,8,0,1,24,2,78,0,3,26
"80502","comp47636_c0",0,24,122.72,9,6,17,7,90,0,5,13
"80938","comp47896_c0",3,1,39,4,3,78,7,67,0,21,234
"81058","comp47965_c0",156,788,1117,630,141,1725.99,810,2666,40,834,926
"81468","comp48204_c0",0,1,8,1,1,40,1,90,0,0,56
"81591","comp48273_c0",0,0,0,0,108,149,0,427,0,0,8
"81656","comp48308_c0",1,5,77,6,19,273,0,1,0,0,0
"81894","comp48449_c0",1,1,8,5,23,4,0,313,17,0,33.77
"82034","comp48529_c0",30,266,145,97,54,334,108,479.61,10,73,314
"82045","comp48535_c0",4,11,32,5,41,64,8,154,1,8,409
"82067","comp48548_c0",7,21,80,11,1,118,15,181,2,10,53
"82244","comp48656_c0",4,5,34.01,25,32,110,37,2320,4,7,168.48
"82279","comp48675_c0",12,1,138,56,352,780,0,1343,2,23,281
"82327","comp48705_c0",0,0,1,1,43,64,1,465,0,1,1
"82389","comp48740_c1",795.29,3177.48,11142.39,2745.24,416.88,5454.25,1415.34,4823.71,97,3660.65,3472.52
"82449","comp48778_c0",28,170,879.18,48,21,141,275,614,9,10,44
"82463","comp48784_c0",5,17,34,17,2,58,8,56,1,10,18
"82652","comp48896_c0",0,1,3,4,0,239.76,0,125.98,0,1,84
"82694","comp48922_c0",153,137,5182.71,189,91,1928.79,10,1516.03,183,186,873.95
"82986","comp49096_c0",32,56,15,26,0,1,53,133,0,0,0
"83048","comp49136_c0",0,0,0,0,436,2378,0,882.99,0,0,0
"83203","comp49237_c0",2,11,11,9,26,49,0,188,0,5,11
"83280","comp49292_c0",1,0,11,1,6,34,0,154,0,2,21
"83296","comp49303_c0",4,21,12,18,10,36,15,155,5,15,60
"83315","comp49312_c0",0,0,0,0,96,248.03,0,418.19,0,0,10
"83379","comp49355_c0",5,10,117,18,10,57,7,471,2,37,327.59
"83430","comp49392_c0",22,58,139,66,16,279,51,461,6,79,347
"83434","comp49395_c0",21,53.82,20,35,7,8,55.77,61,1,52,21
"83445","comp49401_c0",1,7,11,15,8,42,0,69.14,0,2,24
"83472","comp49418_c0",23,33,138,70,110.81,238,51,668,4,38,125.63
"83473","comp49421_c0",7,22,32,8,4,36,37,417,6,19,116
"83587","comp49495_c0",74,234,92,103,36,19,1206.44,1733,15,57,70
"83614","comp49514_c0",8,17,21,11,10,30,13,259,3,6,80
"83698","comp49561_c0",2,20,29,27,19,108.96,24.58,112.09,1,11,43
"83720","comp49575_c0",6,4,210,0,3,88,7,60,2,41,69
"83740","comp49589_c0",6,27,43,0,2,333.01,50,2617.92,29,426,18990.8
"83766","comp49605_c0",13,21,141,22,3,493,28,287,1,18,113.5
"83778","comp49612_c1",12,76,252,52,8,84,9,300.29,10,54,93
"83779","comp49613_c0",4,12,28,6,3,47.98,5,130.65,5,4,57
"83825","comp49640_c0",525,2299,861,1460.28,171,347,3830.93,1290.01,47,1626.28,491.99
"83829","comp49644_c0",5,19,43,12,5,82,38,166,2,62,400
"83888","comp49681_c0",7,41,112,22,8,45,4,35,0,10,19
"83915","comp49696_c0",9,13,230,7,22,237,19,496.42,3,32,164
"83983","comp49741_c0",1,4,16,3,1,58,2,93,0,3,34
"83986","comp49744_c0",1,4,21,3,1,22,1,77,1,5,30
"84002","comp49753_c1",2,1,1,1,62,121,2,318,0,0,2
"84069","comp49793_c0",0,0,0,33,5,0,58,94,0,0,0
"84146","comp49838_c0",2,24,33,16,7,352,6,115,1,23,94
"84323","comp49946_c0",0,0,0,0,0,0,0,0,6,81,94
"84441","comp50016_c0",4,9,43,13,3,80,22,21,1,14,29
"84539","comp50072_c0",31,186,441.05,128,21,237,99,252,8,166,217.94
"84655","comp50148_c0",12,15,181,18,17,140,2,166,2,30,53
"84739","comp50205_c0",1,8,51,9,1,31,5,44,2,6,63
"85050","comp50409_c0",1,1,8,7,44,22,3,190,0,2,8
"85139","comp50470_c0",139.61,562.5,984.16,670.26,156.7,904.21,1112,2677.47,76,1774,1510
"85302","comp50572_c0",385.94,1578.74,3370.88,454,143,597.01,1015,4149.06,87,2251,2167
"85303","comp50572_c1",71,301,726.81,53,23,85,179,691,17,371,319
"85484","comp50696_c0",0,4,1,5,1861.03,4388.66,1,16518.32,1,4,210
"85596","comp50771_c0",1,5,6,16,33,100,7.79,271.91,1,7,21
"85849","comp50928_c0",0,3,41,0,0,90,0,18,0,0,761
"86025","comp51045_c0",2,22,56,5,3,97,2,216.02,0,10,89
"86121","comp51113_c1",1,6,8,3,6,38,18,96,0,3,37
"86193","comp51162_c0",62,118,297,215.99,23,460,80,272.86,13,320,598.19
"86210","comp51174_c0",3,17,83,26,3,56,34,251,5,29,87
"86218","comp51181_c0",5,10,127,10,4,135,0,265,1,5,745
"86323","comp51246_c1",8,57,280,83,27,172,13,311,3,32,81
"86363","comp51268_c0",0,1,7,1,0,25,3,96,0,5,50
"86368","comp51271_c0",6,9,65,2,1,83.92,0,63,1,1,139
"86369","comp51271_c1",2,8,61,4,0,32,0,25,0,0,56
"86509","comp51371_c0",0,0,0,201.7,48,0,97,172,2,1,7
"86579","comp51419_c0",24.01,50,172.95,86,33,176.58,33,442,8,57,218
"86823","comp51576_c0",20,68,265.02,48,14,572,37.49,505,4,42,144
"86908","comp51634_c0",2,11,21,3,3,35,5,56,0,13,28
"86984","comp51682_c0",5,23,156,44,691,1094.05,48,2434,3,32,394
"87050","comp51730_c1",1,4,1,9,13,34,4,128,0,1,5
"87072","comp51742_c1",1,12,54.21,11,47,117,13,454.24,4,24,51
"87081","comp51750_c0",2,12,24,3,3,22,8,88,1,27,28
"87200","comp51829_c0",3,9,32,9,3,32,11,70,2,18,100
"87219","comp51838_c1",1,2,9,10,11,14,6,267,2,4,62
"87250","comp51860_c0",1,3,3,3,1,33,6,47,2,7,190
"87353","comp51924_c0",0,0,0,0,0,51,0,389.13,1,13,419
"87378","comp51940_c0",7,33,57,21,5,45,10,195,5,8,69
"87393","comp51951_c0",39,135,429,78,29,1257.13,50,846,4,96,961.99
"87504","comp52026_c0",0,5,4,4,18,52.98,1,127,0,1,17
"87686","comp52147_c0",2,2,10,0,1,23,4,42,7,2,574.36
"87717","comp52169_c0",6,22,33,16,7,46,12,39,2,22,41
"87726","comp52174_c0",11,2,128.89,66,301,528.99,0,2409.7,2,19,253
"87727","comp52174_c1",1,0,7,7,24,35,0,197,0,2,14
"87728","comp52174_c2",7,0,100,36,189,338,1,1423.95,2,17,179
"87788","comp52216_c0",5,9,7,6,16,55,11,120,0,14,171
"87789","comp52216_c1",7,14,51,25,26,178.14,21.7,338.01,3,34,530
"87869","comp52264_c0",1,6,7,6,14,148,2,81,1,0,4
"87877","comp52269_c0",81,282,613.52,293,63,604,384.69,1468.72,21,284,480.4
"87883","comp52272_c0",14,49.97,236.39,74,18,98.03,13.07,75.97,3,41.99,46.73
"88039","comp52368_c0",41,89,152,146,293,556,85,1288,2,100,258
"88067","comp52388_c0",1,11,44,5,1,45,12,10,0,19,32
"88133","comp52437_c0",145,210.7,603.98,111,48,2905,65,3180.99,24,151,1554.49
"88283","comp52531_c0",0,9,25,5,4,29,10,80,0,9,47
"88291","comp52535_c0",1,2,4,4,17,56,9,115,0,1,6
"88351","comp52582_c0",0,1,1,7,10,32,5,66,0,0,8
"88429","comp52638_c0",108.13,178,1683.92,111,98,120,143,2120.99,3,15,184
"88453","comp52653_c0",136,814,1658.86,664.38,117,931,639.67,1627.75,44,737.15,709
"88469","comp52663_c0",0,0,5,1,46,145,0,329,1,0,42
"88735","comp52846_c0",0,0,1,3,11,31,1,68.76,0,1,2
"88930","comp52971_c0",3,9,48,40,48,78,24,178,4,8,318
"88937","comp52977_c0",7,31,194,7,8,751,5,762,2,13,169
"89001","comp53017_c1",0,0,0,0,0,23,0,71,1,0,30
"89017","comp53029_c0",3,6,34.23,26,3,149.73,4,198.54,5,16.99,96.86
"89045","comp53046_c0",7,36,102,31,21,72,32,150,2,50,77
"89054","comp53053_c0",342,1583.67,917,751.19,170,240,1938.99,1156,11,708.01,325
"89133","comp53103_c0",6,39,744,45.79,17,85,120,272,17,277,240
"89252","comp53190_c0",55,199,630,207,44,412.02,183,935,10,180,664
"89278","comp53205_c2",20,41,107,38,19,450.01,71,480,4,98,347
"89291","comp53218_c0",40,136,8,140,16,38,376,139,2,78,22
"89490","comp53339_c0",18,103,96,11,3,103,3,218,3,4,967
"89544","comp53384_c0",1,0,148.63,0,691.22,1184.22,0,2906.19,9,0,298.06
"89554","comp53389_c0",0,1,3,0,1,2,10,60,2,7,30.86
"89643","comp53449_c0",11,46,127.02,61,25,188,41,711.02,3,65,250
"89676","comp53469_c0",3,10,74,9,5,104,8,279,1,6,100
"89708","comp53494_c0",30,49,9,50,9,15,66,36,1,49,19
"89720","comp53502_c0",3,4,24.48,1,6,28,10,171.99,0,4,60
"89740","comp53514_c0",0,0,0,0,0,35,0,188,2,18,58
"89801","comp53552_c0",1,0,0,1,40,90,0,188,0,0,7
"89813","comp53562_c1",148,307,859,550.33,90,915.01,412.19,2180,68,472.06,1160
"90039","comp53718_c0",0,3,0,4,24,51,0,185.07,0,1,4
"90051","comp53728_c0",15,20,140,8,0,61.58,10,158.99,2,24,82
"90069","comp53739_c3",1,2,23,1,0,223,0,241,3,6,5496
"90114","comp53772_c0",3,7,16,15,17,41,3,104,0,3,20
"90132","comp53780_c4",7,68,121,60,311,521,66,923,6,79,108
"90148","comp53790_c0",2,9,16,2,2,81,3,83,1,2,67.96
"90298","comp53897_c0",105,448,638.33,58,10,182,92.11,146.81,8,459.35,666
"90323","comp53913_c0",29,121,624,228,23,152,134,950,48,311,445
"90324","comp53914_c0",14,19,301.91,79,18,1472.94,17,1899.48,8,57,4363.19
"90345","comp53929_c0",29,129,206,91,15,111,181,833,28,146,322
"90377","comp53955_c0",36,97,280.77,84,48,600.9,58,1266.84,13,38.97,261
"90413","comp53980_c1",0,2,19,6,3,10,5,242,2,2,132
"90424","comp53988_c0",82,214,625.18,108,51,1285,144,1361.98,7,140,990.01
"90574","comp54086_c0",2,5,81.53,33,18,124,8,387,3,2,63
"90591","comp54099_c1",0,1,1,2,9,1001.14,0,756,1,0,112
"90633","comp54128_c0",413,1160,411,1005,163,435.01,1761.06,1241.31,16,629.97,358.27
"90712","comp54181_c0",0,1,0,0,33,34,0,101,0,0,6
"90742","comp54201_c0",1,13,38,15,9,548,34,331,0,26,298
"90784","comp54224_c0",0,0,0,2,0,41,1,72,0,0,25.99
"90797","comp54232_c1",3,30,64,40,7,90,14,140.55,3,47,110.05
"90882","comp54286_c0",24,72,6,34,6,2,2.1,3.98,0,5,10
"90918","comp54308_c0",4,13,13,7,19,36,18,106.24,11,9,24
"91026","comp54380_c0",0,0,0,3,13,25,0,121,0,0,7
"91035","comp54386_c0",1469.06,4947.59,2985.02,2450.9,655,588,4740.17,4826.89,70,1558.49,679.58
"91127","comp54452_c0",0,0,9,1,1,52,0,72,0,0,131
"91149","comp54466_c0",0,4,16,5,1,20,2,72,4,2,25.75
"91177","comp54487_c0",3,2,61,8,7,45,5,67,0,5,36
"91208","comp54508_c0",505,1110.16,2851.71,859.06,336.95,2344.93,918.96,4963.17,63,1035,1847.03
"91237","comp54526_c2",215,328.01,2590.57,215,99.01,554.91,253.47,1815.9,69,245,594
"91255","comp54539_c1",0,0,11,1,25,34,0,96,0,0,10
"91287","comp54563_c0",2,25,49,11,4,19,39,107,5,18,17.02
"91291","comp54566_c0",8,25,151.19,1,0,3,20,47,1,68,71
"91482","comp54689_c0",67,162,646.86,162,35,492.11,179,956,12,156.83,563.99
"91511","comp54707_c0",8,26,60,6,4,192,4,160,2,14,594
"91514","comp54709_c0",8,15,119,81,5,147,23,395,22,25,146
"91543","comp54731_c0",0,4,3,0,1557,10086.93,1,25046.56,0,0,0
"91583","comp54763_c0",10,53,31,41,72,181,52,822.15,5,72,141
"91660","comp54813_c1",7,42,33,7,38,146.67,1,72,0,57,2608.53
"91724","comp54856_c0",7,12,725.05,16,5,52,82,111,8,29,75
"91910","comp54981_c0",1,15,33,9,3,115,10,266,1,2,165
"91951","comp55009_c0",0,0,147,2,1,7,1,70,6,1,2
"91968","comp55020_c1",11,27,178,64,20,270,33,225.97,0,41,87
"91969","comp55020_c2",5,7,57,22,10,118,14,85,0,14,32
